op_id,split,alt_m,throttle,isa_dev_C,airspeed_ms
0,train,0,0.3,-10,30.6
1,train,0,0.3,0,33.6
2,train,0,0.3,28,36.6
3,train,0,0.5,-10,48
4,train,0,0.5,0,51
5,train,0,0.5,28,39
6,train,0,0.72,-10,51.239999999999995
7,train,0,0.72,0,54.239999999999995
8,val,0,0.72,28,57.239999999999995
9,val,0,0.95,-10,69.9
10,train,0,0.95,0,57.9
11,train,0,0.95,28,60.9
12,train,1800,0.3,-10,36.6
13,val,1800,0.3,0,39.6
14,train,1800,0.3,28,42.6
15,train,1800,0.5,-10,39
16,test,1800,0.5,0,42
17,train,1800,0.5,28,45
18,test,1800,0.72,-10,57.239999999999995
19,test,1800,0.72,0,60.239999999999995
20,val,1800,0.72,28,48.239999999999995
21,val,1800,0.95,-10,60.9
22,train,1800,0.95,0,63.9
23,train,1800,0.95,28,66.9
24,test,3600,0.3,-10,42.6
25,train,3600,0.3,0,30.6
26,test,3600,0.3,28,33.6
27,train,3600,0.5,-10,45
28,train,3600,0.5,0,48
29,train,3600,0.5,28,51
30,train,3600,0.72,-10,48.239999999999995
31,test,3600,0.72,0,51.239999999999995
32,train,3600,0.72,28,54.239999999999995
33,train,3600,0.95,-10,66.9
34,train,3600,0.95,0,69.9
35,train,3600,0.95,28,57.9
36,train,5400,0.3,-10,33.6
37,val,5400,0.3,0,36.6
38,train,5400,0.3,28,39.6
39,test,5400,0.5,-10,51
40,train,5400,0.5,0,39
41,train,5400,0.5,28,42
42,train,5400,0.72,-10,54.239999999999995
43,val,5400,0.72,0,57.239999999999995
44,train,5400,0.72,28,60.239999999999995
45,train,5400,0.95,-10,57.9
46,val,5400,0.95,0,60.9
47,train,5400,0.95,28,63.9
48,train,7200,0.3,-10,39.6
49,test,7200,0.3,0,42.6
50,train,7200,0.3,28,30.6
51,val,7200,0.5,-10,42
52,test,7200,0.5,0,45
53,train,7200,0.5,28,48
54,train,7200,0.72,-10,60.239999999999995
55,train,7200,0.72,0,48.239999999999995
56,train,7200,0.72,28,51.239999999999995
57,train,7200,0.95,-10,63.9
58,train,7200,0.95,0,66.9
59,train,7200,0.95,28,69.9
